team,valuation_2024_M,revenue_2023_M,valuation_2025_M,revenue_2024_M,yoy_valuation_change_pct,owner,arena_capacity,city_population_M,notes
Las Vegas Aces,140,17.8,310,22,121,Mark Davis,8600,2.3,Back-to-back champions 2022-2023; First sellout season tickets
Seattle Storm,135,16.2,200,18,48,Force 10 Hoops LLC,18000,0.75,$64M new practice facility
New York Liberty,130,18.0,420,34,223,BSE Global (Joe Tsai),17732,8.3,2024 Champions; Highest 2023 revenue
Phoenix Mercury,105,15.0,180,17,71,Mat Ishbia,18055,1.6,Diana Taurasi legacy
Chicago Sky,95,12.5,170,15,79,Michael Alter,10387,2.7,Angel Reese drafted 2024
Indiana Fever,90,9.1,335,34,273,Herb Simon,17274,0.88,Caitlin Clark effect; Record attendance
Los Angeles Sparks,85,11.2,150,14,76,Group ownership,13247,3.9,Historic franchise
Connecticut Sun,80,12.9,160,15,100,Mohegan Sun,9518,0.9,Consistent playoff team
Washington Mystics,80,11.9,140,13,75,Ted Leonsis,4200,0.7,2019 Champions; Small home arena
Minnesota Lynx,75,12.0,180,16,140,Glen Taylor,18978,0.43,4x Champions; Strong fanbase
Dallas Wings,75,11.1,150,14,100,Bill Cameron,6731,1.3,Young talent core
Atlanta Dream,55,8.8,120,11,118,Larry Gottesdiener,4500,0.5,Sold out 2024 season tickets
Golden State Valkyries,0,0,500,70,NA,Joe Lacob (Warriors),18000,0.87,Expansion 2025; First season
Toronto Tempo,0,0,50,0,NA,Larry Tanenbaum,19800,2.9,Expansion 2026
Portland TBD,0,0,75,0,NA,Lisa Bhathal Merage,19393,0.65,Expansion 2026
