rank,player,team,position,salary_2025,contract_type,years_of_service,draft_year,draft_pick,all_star_selections,championships,notes
1,Jackie Young,Las Vegas Aces,G,252450,Supermax,6,2019,1,3,2,Highest paid WNBA player
2,Kelsey Mitchell,Indiana Fever,G,249244,Supermax,7,2018,2,3,0,Sharpshooting guard
3,Jewell Loyd,Las Vegas Aces,G,245508,Max,10,2015,1,5,1,Traded from Seattle 2025
4,Kahleah Copper,Phoenix Mercury,G,245059,Max,8,2016,UFA,3,1,2021 Finals MVP
5,Arike Ogunbowale,Dallas Wings,G,241984,Max,6,2019,5,4,0,Elite scorer
6,Gabby Williams,Seattle Storm,F,225000,Standard,7,2018,4,0,0,Olympic gold medalist
7,Alyssa Thomas,Phoenix Mercury,F,215000,QO,11,2014,4,6,0,Traded from Connecticut
7,Satou Sabally,Phoenix Mercury,F,215000,Standard,5,2020,2,1,0,Traded from Dallas
9,Brittney Griner,Atlanta Dream,C,214466,Max,11,2013,1,9,2,9x All-Star
9,Brionna Jones,Atlanta Dream,C,214466,Standard,8,2017,6,3,0,Signed with Atlanta
9,Natasha Howard,Indiana Fever,F,214466,Standard,10,2014,5,3,2,Veteran forward
12,Napheesa Collier,Minnesota Lynx,F,214284,Standard,6,2019,6,4,0,Unrivaled co-founder
13,Skylar Diggins-Smith,Seattle Storm,G,211343,Standard,12,2013,3,6,0,Veteran playmaker
14,Marina Mabrey,Connecticut Sun,G,210000,Standard,6,2019,19,1,0,3-year $620K deal
15,Breanna Stewart,New York Liberty,F,208400,Below Max,8,2016,1,5,2,2x MVP; took less for team
16,Sabrina Ionescu,New York Liberty,G,205000,Standard,5,2020,1,3,1,Elite shooter
17,Courtney Vandersloot,New York Liberty,G,200000,Standard,14,2011,3,6,1,Career assists leader
17,A'ja Wilson,Las Vegas Aces,C,200000,Below Max,7,2018,1,6,3,4x MVP; below market deal
17,Chelsea Gray,Las Vegas Aces,G,200000,Standard,11,2014,11,4,2,Floor general
20,Caitlin Clark,Indiana Fever,G,78066,Rookie,2,2024,1,1,0,Rookie contract Year 2
